10-Piece Set sold units,Time in month,10-Piece Set sale price,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec
219,1,$949.98 ,0,0,0,0,0,0,0,0,0,0
175,2,$949.98 ,1,0,0,0,0,0,0,0,0,0
306,3,$949.98 ,0,1,0,0,0,0,0,0,0,0
394,4,$949.98 ,0,0,1,0,0,0,0,0,0,0
394,5,$949.98 ,0,0,0,1,0,0,0,0,0,0
131,6,$949.98 ,0,0,0,0,1,0,0,0,0,0
131,7,$949.98 ,0,0,0,0,0,1,0,0,0,0
438,8,$949.98 ,0,0,0,0,0,0,1,0,0,0
525,9,$949.98 ,0,0,0,0,0,0,0,0,0,0
613,10,$949.98 ,0,0,0,0,0,0,0,1,0,0
657,11,$949.98 ,0,0,0,0,0,0,0,0,1,0
394,12,$949.98 ,0,0,0,0,0,0,0,0,0,1
354,13,$949.98 ,0,0,0,0,0,0,0,0,0,0
706,14,$949.98 ,1,0,0,0,0,0,0,0,0,0
603,15,$949.98 ,0,1,0,0,0,0,0,0,0,0
603,16,$949.98 ,0,0,1,0,0,0,0,0,0,0
367,17,$949.98 ,0,0,0,1,0,0,0,0,0,0
328,18,$949.98 ,0,0,0,0,1,0,0,0,0,0
509,19,$949.98 ,0,0,0,0,0,1,0,0,0,0
429,20,$949.98 ,0,0,0,0,0,0,1,0,0,0
417,21,$949.98 ,0,0,0,0,0,0,0,0,0,0
"1,553",22,$799.95 ,0,0,0,0,0,0,0,1,0,0
"1,670",23,$799.95 ,0,0,0,0,0,0,0,0,1,0
"1,204",24,$799.95 ,0,0,0,0,0,0,0,0,0,1
1069,25,$799.95 ,0,0,0,0,0,0,0,0,0,0
1536,26,$799.95 ,1,0,0,0,0,0,0,0,0,0
1490,27,$799.95 ,0,1,0,0,0,0,0,0,0,0
